patent,prim,class,subclass
D0673722,29,D26138,9,2699
D0673723,29,D26142,9,2699
D0673724,29,D26142,9,2699
D0673725,29,D26142,9,2699
D0673726,29,D26142,9,2699
D0673727,29,D26142,9,2699
D0673728,29,D26142,9,2699
D0673729,29,D27138,9,2703
D0673730,29,"D28 47",9,2803
D0673731,29,"D28 53",9,2803
D0673732,29,"D28 55",9,2803
D0673733,29,"D28 62",9,2803
D0673734,29,D29107,9,0203
D0673735,29,D291171,9,2902
D0673736,29,D29122,9,2902
D0673737,29,D30114,9,3002
D0673738,29,D30145,9,3001
D0673739,29,D30152,9,3004
D0673740,29,D30160,9,3099
D0673741,29,D30161,9,3001
D0673742,29,"D32  2",9,1505
D0673743,29,"D32 31",9,1505
D0673744,29,"D32 40",9,0401
D0673745,29,"D32 40",9,0401
D0673746,29,"D32 40",9,0401
D0673747,29,"D32 45",9,0401
D0673748,29,"D32 50",9,0401
D0673749,29,"D32 53",9,0707
D0673750,29,"D34  9",9,0909
D0673751,29,"D34 12",9,1202
D0673752,29,"D34 21",9,1202
D0673753,29,"D34 35",9,1205
D0673754,29,"D34 38",9,0908
D0673755,29,"D99 39",9,0301
PP023288,12,PLT108,,
PP023289,13,PLT142,,
PP023290,13,PLT208,,
PP023291,13,PLT209,,
PP023292,12,PLT228,,
PP023293,13,PLT232,,
PP023294,13,PLT251,,
PP023295,13,PLT2631,,
PP023296,13,PLT302,,
PP023297,13,PLT308,,
PP023298,12,PLT321,,
PP023299,12,PLT321,,
PP023300,12,PLT321,,
PP023301,13,PLT339,,
PP023302,13,PLT343,,
PP023303,13,PLT35623,,
PP023304,13,PLT360,,
PP023305,13,PLT361,,
PP023306,13,PLT378,,
PP023307,13,PLT384,,
PP023308,13,PLT440,,
PP023309,13,PLT440,,
PP023310,13,PLT475,,
PP023311,13,PLT479,,
PP023312,13,PLT479,,
PP023313,13,PLT479,,
RE043884,13," 76 81",,
RE043885,13," 84411P",,
RE043886,12,12820715,,
RE043887,13,198832,,
RE043888,13,235379,,
RE043889,11,257440,,
RE043890,13,315185S,,
RE043891,13,34042611,,
RE043892,13,358514,,
RE043893,12,"379 8819",,
RE043894,13,382128,,
RE043895,12,382154,,
RE043896,12,382218,,
RE043897,12,386201,,
RE043898,11,4241331,,
RE043899,13,4241811,,
RE043900,10,600443,,
RE043901,11,"606 27",,
RE043902,13,606200,,
RE043903,11,"702  3",,
RE043904,13,"705  2",,
RE043905,11,"705 39",,
RE043906,12,713165,,
RE043907,12,714746,,
08341762,12,"  2  25",,
08341763,11,"  2 21",,
08341764,12,"  2 22",,
08341765,12,"  2 67",,
08341766,12,"  2 97",,
08341767,13,"  21611",,
08341768,12,"  21617",,
08341769,12,"  2269",,
08341770,12,"  2411",,
08341771,12,"  2424",,
08341772,12,"  2460",,
08341773,12,"  4431",,
08341774,13,"  4557",,
08341775,12,"  4608",,
08341776,12,"  4622",,
08341777,13,"  5424",,
08341778,13,"  5600",,
08341779,12,"  5618",,
08341780,11,"  5633",,
08341781,12,"  5655",,
08341782,13,"  5655",,
08341783,13,"  5655",,
08341784,12,"  56553",,
08341785,12,"  5663",,
08341786,12,"  5713",,
08341787,12,"  8159",,
08341788,12," 14 773",,
08341789,12," 15  17",,
08341790,11," 15 221",,
08341791,12," 15 221",,
08341792,11," 15 28",,
08341793,12," 15 98",,
08341794,11," 1510405",,
08341795,13," 151192",,
08341796,12," 152101",,
08341797,12," 15228",,
08341798,12," 1523011",,
08341799,12," 1525032",,
08341800,13," 1525034",,
08341801,12," 1525043",,
08341802,13," 15319",,
08341803,12," 15322",,
08341804,13," 16  21",,
08341805,12," 16303",,
08341806,11," 16326",,
08341807,12," 19114",,
08341808,12," 24336",,
08341809,12," 24433",,
08341810,12," 24462",,
08341811,12," 246007",,
08341812,13," 27  1",,
08341813,12," 29 11",,
08341814,13," 29 2535",,
08341815,12," 29 2542",,
08341816,12," 29237",,
08341817,12," 29244",,
08341818,12," 29254",,
08341819,13," 292811",,
08341820,12," 29447",,
08341821,12," 29521",,
08341822,12," 2952511",,
08341823,13," 29559",,
08341824,12," 29596",,
08341825,12," 2960312",,
08341826,12," 2960316",,
08341827,12," 29743",,
08341828,12," 29745",,
08341829,13," 29748",,
08341830,13," 29758",,
08341831,12," 29762",,
08341832,13," 29825",,
08341833,12," 29830",,
08341834,12," 29830",,
08341835,12," 29841",,
08341836,12," 29842",,
08341837,12," 29854",,
08341838,12," 29857",,
08341839,13," 29884",,
08341840,12," 298891",,
08341841,12," 298897",,
08341842,12," 2989004",,
08341843,12," 29898",,
08341844,12," 29898066",,
08341845,12," 30 341",,
08341846,12," 30 431",,
08341847,12," 30276",,
08341848,12," 3320318",,
08341849,12," 33301",,
08341850,12," 33471",,
08341851,13," 33651",,
08341852,13," 33706",,
08341853,11," 34 90",,
08341854,12," 34287",,
08341855,13," 36  83",,
08341856,13," 36 25R",,
08341857,12," 36 29",,
08341858,13," 4012403",,
08341859,13," 4060601",,
08341860,12," 4060701",,
08341861,12," 4061106",,
08341862,12," 40661",,
08341863,12," 42 46",,
08341864,12," 42 72",,
08341865,12," 42 72",,
08341866,13," 42 72",,
08341867,12," 42 73",,
08341868,13," 42 73",,
08341869,13," 43 17",,
08341870,13," 43 423",,
08341871,13," 43 431",,
08341872,12," 43 449",,
08341873,12," 43113",,
08341874,12," 43114",,
08341875,12," 43121",,
08341876,13," 47  13",,
08341877,13," 47  14",,
08341878,13," 47 325",,
08341879,13," 47 45",,
08341880,11," 47 581R",,
08341881,12," 47 59S",,
08341882,13," 47 72",,
08341883,13," 47 72",,
08341884,12," 47 86",,
08341885,12," 49 28",,
08341886,12," 49 55",,
08341887,12," 49 741",,
08341888,13," 49237",,
08341889,12," 49345",,
08341890,12," 49348",,
08341891,12," 52 12",,
08341892,12," 52 12",,
08341893,13," 521674",,
08341894,12," 521713",,
08341895,12," 521733",,
08341896,13," 52181",,
08341897,13," 52198",,
08341898,13," 52233",,
08341899,12," 52234",,
08341900,12," 52235",,
08341901,13," 52235",,
08341902,13," 522363",,
08341903,12," 522381",,
08341904,12," 522881",,
08341905,12," 52295",,
08341906,12," 52297",,
08341907,13," 52299",,
08341908,12," 5239601",,
08341909,12," 5239604",,
08341910,13," 524031",,
08341911,13," 524031",,
08341912,12," 52473",,
08341913,12," 5250606",,
08341914,12," 525821",,
08341915,11," 525862",,
08341916,13," 525924",,
08341917,12," 527414",,
08341918,13," 527452",,
08341919,13," 527841",,
08341920,12," 527921",,
08341921,12," 52842",,
08341922,12," 53 79",,
08341923,12," 53397",,
08341924,11," 53432",,
08341925,12," 53440",,
08341926,13," 56 102E",,
08341927,13," 56157",,
08341928,13," 56181",,
08341929,13," 56181",,
08341930,12," 57237",,
08341931,12," 59 78",,
08341932,12," 60 3939",,
08341933,12," 60204",,
08341934,12," 60262",,
08341935,12," 60264",,
08341936,12," 60276",,
08341937,11," 60277",,
08341938,12," 60277",,
08341939,12," 60280",,
08341940,12," 60286",,
08341941,12," 60286",,
08341942,12," 60286",,
08341943,11," 60295",,
08341944,12," 60295",,
08341945,12," 60297",,
08341946,12," 60297",,
08341947,12," 60297",,
08341948,12," 60298",,
08341949,12," 60301",,
08341950,12," 60320",,
08341951,12," 60320",,
08341952,12," 60323",,
08341953,12," 60323",,
08341954,12," 60338",,
08341955,12," 60444",,
08341956,12," 60452",,
08341957,13," 60506",,
08341958,11," 60527",,
08341959,13," 6064115",,
08341960,12," 606412",,
08341961,12," 606419",,
08341962,12," 60653",,
08341963,12," 60767",,
08341964,12," 60772",,
08341965,10," 62  32",,
08341966,12," 62  33",,
08341967,12," 62  36",,
08341968,12," 62 98",,
08341969,12," 62119",,
08341970,12," 62155",,
08341971,12," 62157",,
08341972,12," 62158",,
08341973,12," 62180",,
08341974,12," 62187",,
08341975,12," 62389",,
08341976,12," 65112",,
08341977,12," 65261",,
08341978,12," 65335",,
08341979,12," 65384",,
08341980,13," 66  1R",,
08341981,12," 68  3R",,
08341982,12," 68 17R",,
08341983,13," 68 25",,
08341984,12," 70 18",,
08341985,13," 70 571",,
08341986,12," 70 63",,
08341987,11," 70276",,
08341988,13," 70276",,
08341989,13," 70456R",,
08341990,12," 72 203",,
08341991,12," 72 64",,
08341992,12," 72114",,
08341993,12," 72143",,
08341994,12," 72235",,
08341995,12," 72349",,
08341996,12," 72350",,
08341997,12," 723546",,
08341998,12," 723796",,
08341999,12," 72416",,
08342000,12," 72441",,
08342001,12," 7245316",,
08342002,12," 73  106",,
08342003,12," 73 2335",,
08342004,13," 73 2341",,
08342005,12," 73 2402",,
08342006,12," 73 40",,
08342007,12," 73 6152",,
08342008,12," 73105",,
08342009,13," 7311202",,
08342010,12," 7311206",,
08342011,12," 7311416",,
08342012,12," 7311432",,
08342013,12," 7311455",,
08342015,13," 7311474",,
08342016,12," 73146",,
08342017,12," 73150A",,
08342018,12," 7320426",,
08342019,12," 73431",,
08342020,12," 73462",,
08342021,12," 73493",,
08342022,12," 7350412",,
08342023,12," 7350412",,
08342024,12," 7350412",,
08342025,12," 7350414",,
08342026,12," 7350416",,
