"Application ID",Country,Classification,Info
29404827,US,"428 37",
29404827,US,"428 39",
29404827,US,"428 665",
29404827,US,"428 79",
29404827,US,428153,
29404827,US,428190,
29404827,US,428919,
29404827,US,604384,
29404827,US,60438501,
29404827,US,"D20 22",
29404827,US,"D 9431",
29404827,US,"D 9432",
29404827,US,"D 9434",
29387415,US,"D 6315-328",unstructured
29387415,US,"223 85- 98",unstructured
29387415,US,"211 131",
29387415,US,"211 8601",
29393892,US,"D 6334",
29393892,US,"D 6335",
29393892,US,"D 6337",
29393892,US,"D 6374",
29393892,US,"D 6379",
29393892,US,"D 6380",
29393892,US,"D 6381",
29393892,US,"D 6491",
29393892,US,"D 6492",
29393892,US,"D 6495",
29393892,US,"D 6500-502",unstructured
29393892,US,297118,
29393892,US,2973001,
29393892,US,2973021,
29393892,US,297311,
29393892,US,297313,
29393892,US,297353,
29393892,US,2973541,
29393892,US,2974451,
29393892,US,2974461,
29393892,US,2974462,
29393892,US,2974474,
29393892,US,297464,
29393892,US,297465,
29393892,US,297900,
29393892,US,"297DIG 2",
29393892,US,"297DIG 7",
29393892,US,"  5 121",
29393892,US,"  5 122",
29411756,US,"D 6480-489",unstructured
29411756,US,"D 6495-499",unstructured
29411756,US,"D 6397",
29411756,US,"D 6336",
29411756,US,"D 6338",
29411756,US,"D 6340",
29411756,US,"D 6349",
29411756,US,108150,
29411756,US,108152,
29411756,US,1081531,
29411756,US,108156,
29411756,US,108161,
29411756,US,"108 5014",
29411756,US,248188,
29411756,US,2481881,
29411756,US,2481888,
29411756,US,29742341,
29411756,US,297140-143,unstructured
29411756,US,297461,
29411756,US,297462,
29411756,US,3122353,
29403635,US,"D 6334-336",unstructured
29403635,US,"D 6351",
29403635,US,"D 6358",
29403635,US,"D 6368",
29403635,US,"D 6371",
29403635,US,"D 6372",
29403635,US,"D 6373",
29403635,US,"D 6374",
29403635,US,"D 6379",
29403635,US,"D 6380",
29403635,US,"D 6495",
29403635,US,"D 6500-502",unstructured
29403635,US,2974401,
29403635,US,29744013,
29403635,US,29744014,
29403635,US,2974451,
29403635,US,2974461,
29403635,US,D21521,
29403635,US,D21478,
29403635,US,D21479,
29403635,US,D21480,
29403636,US,"D 6334-336",unstructured
29403636,US,"D 6351",
29403636,US,"D 6358",
29403636,US,"D 6368",
29403636,US,"D 6371",
29403636,US,"D 6372",
29403636,US,"D 6373",
29403636,US,"D 6374",
29403636,US,"D 6379",
29403636,US,"D 6380",
29403636,US,"D 6495",
29403636,US,"D 6500-502",unstructured
29403636,US,2974401,
29403636,US,29744013,
29403636,US,29744014,
29403636,US,2974451,
29403636,US,2974461,
29403636,US,D21521,
29403636,US,D21478,
29403636,US,D21479,
29403636,US,D21480,
29418890,US,"D 6334-336",unstructured
29418890,US,"D 6360-369",unstructured
29418890,US,"D 6373-374",unstructured
29418890,US,"D 6379-380",unstructured
29418890,US,"D 6498",
29418890,US,"D 6500-502",unstructured
29418890,US,"D 6601",
29418890,US,2972281,
29418890,US,2972841-2845,unstructured
29418890,US,297291,
29418890,US,297297,
29418890,US,2973031,
29418890,US,2974112,
29418890,US,29741127-41129,unstructured
29418890,US,29745213,
29418890,US,29745219,
29418890,US,29745221,
29418890,US,29745229,
29418890,US,2974523,
29418890,US,29745256,
29418890,US,29745263,
29401115,US,"D 6334-336",unstructured
29401115,US,"D 6364",
29401115,US,"D 6365",
29401115,US,"D 6366",
29401115,US,"D 6367",
29401115,US,"D 6369",
29401115,US,"D 6379",
29401115,US,"D 6380",
29401115,US,"D 6498",
29401115,US,"D 6500-502",unstructured
29401115,US,2972844,
29401115,US,29741128,
29401115,US,29745213,
29401115,US,29745221,
29401115,US,29745229,
29401115,US,2974523,
29401115,US,29745246,
29401115,US,29745256,
29401115,US,29745264,
29402106,US,"D 6334-336",unstructured
29402106,US,"D 6364",
29402106,US,"D 6365",
29402106,US,"D 6366",
29402106,US,"D 6367",
29402106,US,"D 6369",
29402106,US,"D 6370",
29402106,US,"D 6379",
29402106,US,"D 6380",
29402106,US,"D 6498",
29402106,US,"D 6500-502",unstructured
29402106,US,2972844,
29402106,US,29745215,
29402106,US,29745221,
29402106,US,29745229,
29402106,US,2974523,
29402106,US,29745246,
29402106,US,29745248,
29399187,US,"D 6382",
