patent,asgseq,asgtype,assignee,City,State,Country,zip,generated_sort
D0673550,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673551,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673552,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673553,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673554,,02,"Case-Mate, Inc.",Tucker,GA,US,,1
D0673555,,03,Parrot,Paris,,FR,,1
D0673556,,03,"Compal Electronics, Inc.",Taipei,,TW,,1
D0673557,,03,"J. P. Sá´ Couto",Perafita,,PT,,1
D0673558,,03,"J. P. Sá´Couto",Perafita,,PT,,1
D0673559,,03,"Acer Incorporated","New Taipei",,TW,,1
D0673560,,03,"Humotion Co., Ltd.",Daejeon,,KR,,1
D0673561,,03,"LG Electronics Inc.",Seoul,,KR,,1
D0673563,,02,"Apple Inc.",Cupertino,CA,US,,1
D0673564,,02,"TimeKeeping Systems, Inc.",Solon,OH,US,,1
D0673565,,03,"PFU Limited",Ishikawa,,JP,,1
D0673566,,03,"PFU Limited",Ishikawa,,JP,,1
D0673568,,03,"Hannspree, Inc.","New Taipei",,TW,,1
D0673569,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673570,,03,"Lenovo (Singapore) Pte. Ltd.",Singapore,,SG,,1
D0673571,,02,"Apple Inc.",Cupertino,CA,US,,1
D0673572,,02,"Apple Inc.",Cupertino,CA,US,,1
D0673573,,02,"Jelly Industries, LLC",Herndon,VA,US,,1
D0673574,,02,"Zagg Intellectual Property Holding Co., Inc.","Salt Lake City",UT,US,,1
D0673575,,02,"Kingston Digital, Inc.","Fountain Valley",CA,US,,1
D0673576,,02,"Kingston Digital, Inc","Fountain Valley",CA,US,,1
D0673577,,02,"Proteus Digital Health, Inc.","Redwood City",CA,US,,1
D0673578,,02,"Proteus Digital Health, Inc.","Redwood City",CA,US,,1
D0673579,,02,"Hewlett-Packard Development Company, L.P.",Houston,TX,US,,1
D0673580,,02,"Hewlett-Packard Development Company, L.P.",Houston,TX,US,,1
D0673581,,03,"OMRON Corporation",Kyoto,,JP,,1
D0673582,,02,"Harmonix Music Systems, Inc.",Cambridge,MA,US,,1
D0673583,,02,"Harmonix Music Systems, Inc.",Cambridge,MA,US,,1
D0673584,,03,"GCS. Inc., Ltd.","Kimhae, Kyoung-Nam",,KR,,1
D0673586,,02,"Trynex International","Madison Heights",MI,US,,1
D0673587,,02,"Trynex International","Madison Heights",MI,US,,1
D0673588,,03,"LG Electronics Inc.",Seoul,,KR,,1
D0673589,,02,"BSH Home Appliances Corporation",Irvine,CA,US,,1
D0673590,,02,"Columbia Steel Casting Co., Inc.",Portland,OR,US,,1
D0673591,,02,"Venmill Industries Incorporated",Uxbridge,MA,US,,1
D0673593,,03,"Otto Ganter GmbH & Co. KG Normteilefabrik",Furtwangen,,DE,,1
D0673594,,02,"Nordson Corporation",Westlake,OH,US,,1
D0673595,,03,"Jen Wu Machinery Co., Ltd.",Kaohsiung,,TW,,1
D0673596,,03,"Robert Bosch GmbH",Stuttgart,,DE,,1
D0673597,,02,"Satisloh North America, Inc.",Germantown,WI,US,,1
D0673598,,02,"Satisloh North America, Inc.",Germantown,WI,US,,1
D0673599,,02,"Tifosi Optics Inc.",Watkinsville,GA,US,,1
D0673600,,03,"Silhouette International Schmied AG",Linz,,AT,,1
D0673603,,03,"Brother Industries, Ltd.",Nagoya,,JP,,1
D0673604,,03,"Brother Industries, Ltd.",Nagoya,,JP,,1
D0673605,,02,"Stratasys, Inc.","Eden Prairie",MN,US,,1
D0673606,,02,"Dynamics Inc.",Pittsburgh,PA,US,,1
D0673607,,02,"Avery Dennison Corporation",Pasadena,CA,US,,1
D0673608,,02,"The Regal Press Incorporated",Norwood,MA,US,,1
D0673609,,02,"Liberty Hardware Mfg. Corp.",Winston-Salem,NC,US,,1
D0673610,,03,"Mitsubishi Pencil Company, Limited",Tokyo,,JP,,1
D0673611,,02,"Kikkerland Design, Inc.","New York",NY,US,,1
D0673613,,02,"The Procter & Gamble Company",Cincinnati,OH,US,,1
D0673614,,02,"The Procter & Gamble Company",Cincinnati,OH,US,,1
D0673615,,02,"The Procter & Gamble Company",Cincinnati,OH,US,,1
D0673616,,02,"The Procter & Gamble Company",Cincinnati,OH,US,,1
D0673617,,02,"Hasbro, Inc.",Pawtucket,RI,US,,1
D0673619,,02,"Atlantic City Coin & Slot Service Company, Inc.",Pleasantville,NJ,US,,1
D0673620,,02,"Multimedia Games, Inc.",Austin,TX,US,,1
D0673621,,02,"Multimedia Games, Inc.",Austin,TX,US,,1
D0673622,,02,"Bally Gaming, Inc.","Las Vegas",NV,US,,1
D0673623,,03,"Ingear B.V.B.A.",Westmalle,,BE,,1
D0673624,,03,"Epoch Company Ltd.",Tokyo,,JP,,1
D0673625,,03,"Creative Impact Inc.","Hong Kong",,HK,,1
D0673626,,02,"Icon Health & Fitness, Inc.",Logan,UT,US,,1
D0673628,,04,,Verona,WI,US,,1
D0673629,,02,"Cobra Golf Incorporated",Carlsbad,CA,US,,1
D0673630,,02,"Karsten Manufacturing Corporation",Phoenix,AZ,US,,1
D0673631,,02,"Acushnet Company",Fairhaven,MA,US,,1
D0673632,,02,"Karsten Manufacturing Corporation",Phoenix,AZ,US,,1
D0673633,,02,"Karsten Manufacturing Corporation",Phoenix,AZ,US,,1
D0673634,,02,"Karsten Manufacturing Corporation",Phoenix,AZ,US,,1
D0673635,,02,"Acushnet Company",Fairhaven,MA,US,,1
D0673638,,02,"Magpul Industries Corporation",Erie,CO,US,,1
D0673640,,03,"Reckitt & Colman (Overseas) Limited","Slough, Berkshire",,GB,,1
D0673644,,02,"Chapin Manufacturing, Inc.",Batavia,NY,US,,1
D0673645,,02,"Chapin Manufacturing, Inc.",Batavia,NY,US,,1
D0673646,,03,"Amiad Water Systems Ltd.","Kibbutz Amiad",,IL,,1
D0673647,,03,"Waterco Limited",Rydalmere,,AU,,1
D0673649,,02,"Water Pik, Inc.","Fort Collins",CO,US,,1
D0673650,,02,"Masco Corporation of Indiana",Indianapolis,IN,US,,1
D0673651,,02,"AS IP Holdco, Inc.",Piscataway,NJ,US,,1
D0673652,,02,"AS IP Holdco, Inc.",Piscataway,NJ,US,,1
D0673653,,02,"AS IP Holdco, Inc.",Piscataway,NJ,US,,1
D0673655,,03,"Asahi Kasei Chemicals Corporation",Tokyo,,JP,,1
D0673657,,02,"Bulk Tank, Inc.","Park Hills",MO,US,,1
D0673658,,03,"Les Rampes Secur Acces Inc.",Laval,,CA,,1
D0673659,,02,"Collins Limited","Somers Point",NJ,US,,1
D0673660,,03,"Hansgrohe SE",Schiltach,,DE,,1
D0673661,,03,"Geberit International AG",Jona,,CH,,1
D0673662,,04,,Miami,FL,US,,1
D0673663,,02,"Heat Surge, LLC",Canton,OH,US,,1
D0673664,,03,"Greenway Home Products Ltd.","Guelph, Ontario",,CA,,1
D0673665,,02,"Electrolux Home Products, Inc.",Charlotte,NC,US,,1
D0673666,,02,"S. C. Johnson & Son, Inc.",Racine,WI,US,,1
D0673667,,02,"Baldor Electric Company","Fort Smith",AR,US,,1
D0673668,,02,"No-Fade Coatings, Inc.","Garden Grove",CA,US,,1
D0673669,,03,"ResMed Limited","Bella Vista",,AU,,1
D0673670,,03,"MTP Medical Technical Promotion GmbH",,,DE,,1
D0673671,,02,"The Procter and Gamble Company",Cincinnati,OH,US,,1
D0673674,,03,"Pacific Hospital Supply Co., Ltd.","Miaoli County",,TW,,1
D0673675,,02,"Becton, Dickinson and Company","Franklin Lakes",NJ,US,,1
D0673676,,02,"Preceptis Medical, Inc.",Plymouth,MN,US,,1
D0673677,,02,"Insightra Medical, Inc.",Irvine,CA,US,,1
