patent,Country,Classification,Info
D0673377,US,D24124,
D0673377,US,D24126,
D0673377,US,"D32 43",
D0673377,US,"  2900",
D0673377,US,"  5490",
D0673377,US,"  5495",
D0673377,US," 15208",
D0673377,US,112401,
D0673377,US,112416,
D0673377,US,112439,
D0673377,US,"139383 R",
D0673377,US,"139383 B",
D0673377,US,"428 32",
D0673377,US,"428 37",
D0673377,US,"428 39",
D0673377,US,"428 665",
D0673377,US,"428 79",
D0673377,US,428153,
D0673377,US,428190,
D0673377,US,428919,
D0673377,US,604384,
D0673377,US,60438501,
D0673377,US,"D20 22",
D0673377,US,"D 9431",
D0673377,US,"D 9432",
D0673377,US,"D 9434",
D0673378,US,"D 6315-328",unstructured
D0673378,US,"223 85- 98",unstructured
D0673378,US,"211 131",
D0673378,US,"211 8601",
D0673379,US,"D 6334",
D0673379,US,"D 6335",
D0673379,US,"D 6337",
D0673379,US,"D 6374",
D0673379,US,"D 6379",
D0673379,US,"D 6380",
D0673379,US,"D 6381",
D0673379,US,"D 6491",
D0673379,US,"D 6492",
D0673379,US,"D 6495",
D0673379,US,"D 6500-502",unstructured
D0673379,US,297118,
D0673379,US,2973001,
D0673379,US,2973021,
D0673379,US,297311,
D0673379,US,297313,
D0673379,US,297353,
D0673379,US,2973541,
D0673379,US,2974451,
D0673379,US,2974461,
D0673379,US,2974462,
D0673379,US,2974474,
D0673379,US,297464,
D0673379,US,297465,
D0673379,US,297900,
D0673379,US,"297DIG 2",
D0673379,US,"297DIG 7",
D0673379,US,"  5 121",
D0673379,US,"  5 122",
D0673380,US,"D 6480-489",unstructured
D0673380,US,"D 6495-499",unstructured
D0673380,US,"D 6397",
D0673380,US,"D 6336",
D0673380,US,"D 6338",
D0673380,US,"D 6340",
D0673380,US,"D 6349",
D0673380,US,108150,
D0673380,US,108152,
D0673380,US,1081531,
D0673380,US,108156,
D0673380,US,108161,
D0673380,US,"108 5014",
D0673380,US,248188,
D0673380,US,2481881,
D0673380,US,2481888,
D0673380,US,29742341,
D0673380,US,297140-143,unstructured
D0673380,US,297461,
D0673380,US,297462,
D0673380,US,3122353,
D0673381,US,"D 6334-336",unstructured
D0673381,US,"D 6351",
D0673381,US,"D 6358",
D0673381,US,"D 6368",
D0673381,US,"D 6371",
D0673381,US,"D 6372",
D0673381,US,"D 6373",
D0673381,US,"D 6374",
D0673381,US,"D 6379",
D0673381,US,"D 6380",
D0673381,US,"D 6495",
D0673381,US,"D 6500-502",unstructured
D0673381,US,2974401,
D0673381,US,29744013,
D0673381,US,29744014,
D0673381,US,2974451,
D0673381,US,2974461,
D0673381,US,D21521,
D0673381,US,D21478,
D0673381,US,D21479,
D0673381,US,D21480,
D0673382,US,"D 6334-336",unstructured
D0673382,US,"D 6351",
D0673382,US,"D 6358",
D0673382,US,"D 6368",
D0673382,US,"D 6371",
D0673382,US,"D 6372",
D0673382,US,"D 6373",
D0673382,US,"D 6374",
D0673382,US,"D 6379",
D0673382,US,"D 6380",
D0673382,US,"D 6495",
D0673382,US,"D 6500-502",unstructured
D0673382,US,2974401,
D0673382,US,29744013,
D0673382,US,29744014,
D0673382,US,2974451,
D0673382,US,2974461,
D0673382,US,D21521,
D0673382,US,D21478,
D0673382,US,D21479,
D0673382,US,D21480,
D0673383,US,"D 6334-336",unstructured
D0673383,US,"D 6360-369",unstructured
D0673383,US,"D 6373-374",unstructured
D0673383,US,"D 6379-380",unstructured
D0673383,US,"D 6498",
D0673383,US,"D 6500-502",unstructured
D0673383,US,"D 6601",
D0673383,US,2972281,
D0673383,US,2972841-2845,unstructured
D0673383,US,297291,
D0673383,US,297297,
D0673383,US,2973031,
D0673383,US,2974112,
D0673383,US,29741127-41129,unstructured
D0673383,US,29745213,
D0673383,US,29745219,
D0673383,US,29745221,
D0673383,US,29745229,
D0673383,US,2974523,
D0673383,US,29745256,
D0673383,US,29745263,
D0673384,US,"D 6334-336",unstructured
D0673384,US,"D 6364",
D0673384,US,"D 6365",
D0673384,US,"D 6366",
D0673384,US,"D 6367",
D0673384,US,"D 6369",
D0673384,US,"D 6379",
D0673384,US,"D 6380",
D0673384,US,"D 6498",
D0673384,US,"D 6500-502",unstructured
D0673384,US,2972844,
D0673384,US,29741128,
D0673384,US,29745213,
D0673384,US,29745221,
D0673384,US,29745229,
D0673384,US,2974523,
D0673384,US,29745246,
D0673384,US,29745256,
D0673384,US,29745264,
D0673385,US,"D 6334-336",unstructured
D0673385,US,"D 6364",
D0673385,US,"D 6365",
D0673385,US,"D 6366",
D0673385,US,"D 6367",
D0673385,US,"D 6369",
D0673385,US,"D 6370",
D0673385,US,"D 6379",
D0673385,US,"D 6380",
D0673385,US,"D 6498",
D0673385,US,"D 6500-502",unstructured
D0673385,US,2972844,
D0673385,US,29745215,
D0673385,US,29745221,
D0673385,US,29745229,
D0673385,US,2974523,
D0673385,US,29745246,
D0673385,US,29745248,
D0673386,US,"D 6382",
D0673386,US,"D 6383",
D0673386,US,"D 6389",
D0673386,US,"D 6393-395",unstructured
D0673386,US,"D 6505-508",unstructured
D0673386,US,"D 6503",
D0673386,US,"  5 531",
D0673386,US,"  52791",
D0673386,US,"  5280",
D0673386,US,"  5281",
D0673386,US,"  5907",
D0673386,US,D21520,
D0673387,US,"D 6419-431",unstructured
D0673387,US,"D 6445",
D0673387,US,"D 6446",
D0673387,US,"D 6397",
D0673387,US,312194-196,unstructured
D0673387,US,312198,
D0673387,US,"312  6",
D0673387,US,312262,
D0673387,US,312122,
D0673387,US,312294,
D0673387,US,312237,
D0673387,US,3122571,
D0673387,US,"108 5001",
D0673387,US,"108 5002",
D0673387,US,"108 60",
D0673387,US,"235 51",
D0673387,US,"235 50 R",
D0673387,US," 52 361",
D0673387,US," 52 364",
D0673387,US,160135,
D0673388,US,"D 6419-428",unstructured
D0673388,US,"D 6429-431",unstructured
D0673388,US,"D 6445",
D0673388,US,"D 6446",
D0673388,US,"D 6397",
D0673388,US,312194-196,unstructured
D0673388,US,312198,
D0673388,US,"312  6",
D0673388,US,312262,
D0673388,US,312122,
D0673388,US,312294,
D0673388,US,312237,
D0673388,US,3122571,
D0673388,US,"108 5001",
D0673388,US,"108 5002",
D0673388,US,"108 60",
D0673388,US,"235 51",
D0673388,US,"235 50 R",
D0673388,US," 52 361",
D0673388,US," 52 364",
D0673388,US,160135,
D0673389,US,"D 6419-428",unstructured
D0673389,US,"D 6429-431",unstructured
D0673389,US,"D 6445",
D0673389,US,"D 6446",
D0673389,US,"D 6397",
D0673389,US,312194-196,unstructured
D0673389,US,312198,
D0673389,US,"312  6",
D0673389,US,312262,
D0673389,US,312122,
D0673389,US,312294,
D0673389,US,312237,
D0673389,US,3122571,
D0673389,US,"108 5001",
D0673389,US,"108 5002",
D0673389,US,"108 60",
D0673389,US,"235 51",
D0673389,US,"235 50 R",
D0673389,US," 52 361",
D0673389,US," 52 364",
D0673389,US,160135,
D0673390,US,"D 6396",
D0673390,US,"D 6397",
D0673390,US,"D 6449",
D0673390,US,"D 6450",
D0673390,US,"D 6454-469",unstructured
D0673390,US,"211  1",
D0673390,US,"211  4",
D0673390,US,"211 10",
D0673390,US,"211 131",
D0673390,US,"211 40",
D0673390,US,"211 491",
D0673390,US,"211 50- 52",unstructured
D0673390,US,"211 592",
D0673390,US,"211 7101",
D0673390,US,"211 72",
D0673390,US,"211 79",
D0673390,US,"211 8601",
D0673390,US,"211 89",
D0673390,US,2111269,
D0673390,US,2111281,
D0673390,US,211134,
D0673390,US,211149,
D0673390,US,211150,
D0673390,US,211153,
D0673390,US,211167,
D0673390,US,2111811,
D0673390,US,211201,
D0673390,US,"108 99",
D0673390,US,3122571,
D0673391,US,"D 6407",
D0673391,US,"D 6470",
D0673391,US,"D 6476",
D0673391,US,"D 6511",
D0673391,US,"D 6396",
D0673391,US,"D 6397",
D0673391,US,"D 6449",
D0673391,US,"D 6450",
