patent,prim,class,subclass
PP023303,0,PLT,356.1,PLT3561
PP023304,1,PLT,360,PLT360
PP023305,1,PLT,361,PLT361
PP023306,1,PLT,378,PLT378
PP023307,1,PLT,384,PLT384
PP023308,1,PLT,440,PLT440
PP023309,1,PLT,440,PLT440
PP023310,1,PLT,475,PLT475
PP023311,1,PLT,479,PLT479
PP023312,1,PLT,479,PLT479
PP023313,1,PLT,479,PLT479
RE043884,1," 76"," 81"," 76 81"
RE043884,0," 76"," 84"," 76 84"
RE043884,0,451,349,451349
RE043885,1," 84",411.P," 84411P"
RE043885,0," 84","411. R"," 84411 R"
RE043885,0," 84","411. A"," 84411 A"
RE043885,0," 84",414," 84414"
RE043886,1,128,207.15,12820715
RE043886,0,128,207.14,12820714
RE043886,0,128,204.18,12820418
RE043886,0,128,205.24,12820524
RE043887,1,198,832,198832
RE043887,0,198,794,198794
RE043887,0,198,832.1,1988321
RE043887,0,198,502.1,1985021
RE043888,1,235,379,235379
RE043888,0,235,375,235375
RE043888,0,235,380,235380
RE043888,0,705," 45","705 45"
RE043889,1,257,440,257440
RE043889,0,257," 21","257 21"
RE043889,0,250,338.1,2503381
RE043889,0,250,338.4,2503384
RE043890,1,315,185.S,315185S
RE043890,0,315,"200. A","315200 A"
RE043890,0,315,322,315322
RE043890,0,315,291,315291
RE043890,0,315,312,315312
RE043890,0,362,800,362800
RE043891,1,340,426.11,34042611
RE043891,0,340,426.16,34042616
RE043891,0,340,539.11,34053911
RE043892,1,358,514,358514
RE043892,0,358,516,358516
RE043892,0,358,512,358512
RE043892,0,358,515,358515
RE043892,0,358,505,358505
RE043892,0,358,486,358486
RE043892,0,358,446,358446
RE043892,0,358,483,358483
RE043892,0,358,482,358482
RE043892,0,358,497,358497
RE043892,0,358,474,358474
RE043893,1,379," 88.19","379 8819"
RE043893,0,348," 14.01","348 1401"
RE043893,0,348," 14.06","348 1406"
RE043893,0,348," 14.11","348 1411"
RE043893,0,348," 14.12","348 1412"
RE043893,0,348,207.99,34820799
RE043893,0,379," 88.13","379 8813"
RE043893,0,379," 93.23","379 9323"
RE043893,0,379,142.01,37914201
RE043893,0,379,142.17,37914217
RE043893,0,379,219,379219
RE043893,0,455,412.2,4554122
RE043893,0,455,414.1,4554141
RE043893,0,455,415,455415
RE043893,0,455,556.1,4555561
RE043893,0,711,115,711115
RE043893,0,235,380,235380
RE043894,1,382,128,382128
RE043894,0,382,164,382164
RE043894,0,382,173,382173
RE043894,0,382,177,382177
RE043895,1,382,154,382154
RE043895,0,382,153,382153
RE043896,1,382,218,382218
RE043896,0,382,125,382125
RE043896,0,382,157,382157
RE043896,0,382,232,382232
RE043896,0,382,305,382305
RE043896,0,707,999.006,707999006
RE043896,0,707,999.101,707999101
RE043897,1,386,201,386201
RE043897,0,386,214,386214
RE043897,0,386,217,386217
RE043897,0,386,220,386220
RE043897,0,386,326,386326
RE043897,0,386,353,386353
RE043897,0,348,138,348138
